md5sum,document_name,theme,type,author,author_type,date,language,link,pdf_link,validation_status,data_error_type,party,translation,version,status,source,topics
adf50f4b3564b4fb996044da400fae08,Monaco. Biennial report (BR). BR 4,Emission reduction targets,Biennial reports (BR),Monaco,,2019-12-27T12:00:00Z,French,/documents/206840,https://unfccc.int/sites/default/files/resource/MCO-BR4-2019-v1.pdf,not validated,,Monaco,,,,UNFCCC Information Portal,Emission reduction targets
a3194eb13ce51578da227a7fd886da5c,Romania. 2022 National Inventory Report (NIR),"GHG inventories, Mitigation",National inventory reports (NIR),Romania,,2022-05-06T12:00:00Z,English,/documents/461892,https://unfccc.int/sites/default/files/resource/rou-2022-nir-6may22.zip,not validated,,Romania,,,,UNFCCC Information Portal,"GHG inventories,Mitigation"
9844678a795c44e750d241ccdd06e110,Vanuatu. Biennial update report (BUR). BUR 1.,"Measurement, reporting and verification (MRV), Mitigation",Biennial update reports (BUR),Vanuatu,,2021-12-17T12:00:00Z,English,/documents/403573,https://unfccc.int/sites/default/files/resource/First%20Biennial%20Update%20Report%20-%20Vanuatu.pdf,not validated,,Vanuatu,,,,UNFCCC Information Portal,"Measurement reporting and verification MRV,Mitigation"
3f334c37341a9fb65e94b33d99014dae,Malawi. Biennial update report (BUR). BUR 1.,"Measurement, reporting and verification (MRV), Mitigation",Biennial update reports (BUR),Malawi. Biennial update report (BUR). BUR 1.,,2022-06-22T12:00:00Z,English,/documents/510773,https://unfccc.int/sites/default/files/resource/17340956_Malawi-BUR1-2-Malawi_BUR1%20resubmitted.pdf,not validated,,Malawi,,,,UNFCCC Information Portal,"Measurement reporting and verification MRV,Mitigation"
f73091cd9ca7c6064619bfdb372e360e,Ghana. Biennial update report (BUR). BUR3.,"Measurement, reporting and verification (MRV), Mitigation",Biennial update reports (BUR),Ghana,,2021-08-13T12:00:00Z,English,/documents/299589,https://unfccc.int/sites/default/files/resource/gh_BUR3_1282021_submission.pdf,not validated,,Ghana,,,,UNFCCC Information Portal,"Measurement reporting and verification MRV,Mitigation"
c1869786673c2f48288dc84772ae92ad,Climate Action Pathway. Finance. Action Table,"Finance, Climate finance, Means of implementation",Climate Action Pathway. Finance. Action Table,Marrakech Partnership,,2021-07-26T12:00:00Z,English,/documents/299342,https://unfccc.int/sites/default/files/resource/Finance_ActionTable.pdf,not validated,,,,,,UNFCCC Information Portal,"Finance,Climate finance,Means of implementation"
87cbdb7ac6ed3eff768466695f5b6e23,Czechia. Biennial Report (BR). BR 3. National Communication (NC). NC 7.,Czechia. Biennial Report (BR). BR 3. National Communication (NC). NC 7.,"National communications (NC), Biennial reports (BR)",Czechia,,2017-12-22T12:00:00Z,English,/documents/198236,https://unfccc.int/sites/default/files/resource/17589243_Czech%20Republic-NC7-BR3-1-NC7_BR3_CZE.pdf,not validated,,Czechia,,,,UNFCCC Information Portal,"Policies and measures,National communications NC,Biennial reports BR,Mitigation,Adaptation"
14fc7f47c5057debd6adec41580bcb55,United States of America. 2022 National Inventory Report (NIR),"GHG inventories, Mitigation",United States of America. 2022 National Inventory Report (NIR),United States of America,,2022-04-15T12:00:00Z,English,/documents/461948,https://unfccc.int/sites/default/files/resource/usa-2022-nir-15apr22.zip,not validated,,United States of America,,,,UNFCCC Information Portal,"GHG inventories,Mitigation"
fa932dc4fa1472d147334905d9308e64,Technical analysis of the first biennial update report of Mauritius submitted on 31 December 2021. Summary report by the team of technical experts,Technical analysis of the first biennial update report of Mauritius submitted on 31 December 2021. Summary report by the team of technical experts,Technical analysis summary report (TASR),UNFCCC. Secretariat,,2023-01-19T12:00:00Z,English only,/documents/624857,https://unfccc.int/sites/default/files/resource/tasr2022_MUS.pdf,not validated,,Mauritius,,,,UNFCCC Information Portal,"Biennial update reports BUR,National communications NC,International consultations and analysis ICA,Mitigation,Means of implementation"
20dbd09631bfc3e8b89cd7b8c7060ce9,Alliance of Small Island States submission topic: Global Stocktake – submission 1,"Equity, Adaptation, Global stocktake, Capacity-building, Climate finance, Loss and damage, Means of implementation, Mitigation, Response measures, Technology, Science and research",Submissions to the Global Stocktake,Alliance of Small Island Developing States,,2022-06-12T12:00:00Z,English,/documents/510401,https://unfccc.int/sites/default/files/resource/202206081618---AOSIS_CC%20GST.pdf,not validated,,,,,,UNFCCC Information Portal,"Equity,Adaptation,Global stocktake,Capacitybuilding,Climate finance,Loss and damage,Means of implementation,Mitigation,Response measures,Technology,Science and research"
